支付宝交易记录明细查询
账号:[faker***@163.com]
起始日期:[2026-05-01 00:00:00] 终止日期:[2026-08-25 23:59:59]
---------------------------------交易记录明细列表------------------------------------
交易号,商家订单号,交易创建时间,付款时间,最近修改时间,交易来源地,类型,交易对方,商品名称,金额（元）,收/支,交易状态,服务费（元）,成功退款（元）,备注,资金状态
2026061620545285261798,20260616052021949591,2026-06-16 05:20:21,2026-06-16 05:23:08,2026-06-16 05:23:08,手机支付宝,即时到账交易,广州地铁,地铁乘车码,7.88,支出,交易成功,0.00,0.00,,已支出
2026061377186177562730,20260613041031196990,2026-06-13 04:10:31,2026-06-13 04:15:22,2026-06-13 04:15:22,手机支付宝,即时到账交易,美团外卖,午餐外卖订单,38.03,支出,交易成功,0.00,0.00,,已支出
2026061186641534488293,20260611091350711098,2026-06-11 09:13:50,2026-06-11 09:17:25,2026-06-11 09:17:25,手机支付宝,即时到账交易,饿了么,夜宵烧烤外卖,58.68,支出,交易成功,0.00,0.00,,已支出
2026060584345342938764,20260605150422987113,2026-06-05 15:04:22,2026-06-05 15:06:07,2026-06-05 15:06:07,手机支付宝,即时到账交易,兰州拉面,牛肉拉面加蛋,21.73,支出,交易成功,0.00,0.00,,已支出
2026060588816308688417,20260605133034709957,2026-06-05 13:30:34,2026-06-05 13:33:29,2026-06-05 13:33:29,手机支付宝,即时到账交易,蜜雪冰城,柠檬水+珍珠奶茶,8.44,支出,交易成功,0.00,0.00,,已支出
2026060212592197312717,20260602055326744447,2026-06-02 05:53:26,2026-06-02 05:54:23,2026-06-02 05:54:23,手机支付宝,担保交易,天猫超市,零食日用品一箱,73.80,支出,交易成功,0.00,0.00,,已支出
2026053124435384673834,20260531034355231427,2026-05-31 03:43:55,2026-05-31 03:44:10,2026-05-31 03:44:10,手机支付宝,即时到账交易,支付宝充值中心,中国移动话费充值100元,99.76,支出,交易成功,0.00,0.00,,已支出
2026052961376998283696,20260529113044631304,2026-05-29 11:30:44,2026-05-29 11:34:19,2026-05-29 11:34:19,手机支付宝,担保交易,淘宝,夏季纯棉T恤,78.92,支出,交易成功,0.00,0.00,,已支出
2026052726626147260256,20260527001946502789,2026-05-27 00:19:46,2026-05-27 00:22:12,2026-05-27 00:22:12,手机支付宝,即时到账交易,茶百道,杨枝甘露大杯,21.45,支出,交易成功,0.00,0.00,,已支出
2026052486603649509199,20260524202123234746,2026-05-24 20:21:23,2026-05-24 20:25:15,2026-05-24 20:25:15,手机支付宝,即时到账交易,饿了么,夜宵烧烤外卖,25.52,支出,交易成功,0.00,0.00,,已支出
2026052196824349620431,20260521103805727394,2026-05-21 10:38:05,2026-05-21 10:42:56,2026-05-21 10:42:56,手机支付宝,即时到账交易,Steam,游戏《荒野大镖客2》,188.99,支出,交易成功,0.00,0.00,,已支出
2026052086018922884872,20260520092917758833,2026-05-20 09:29:17,2026-05-20 09:30:23,2026-05-20 09:30:23,手机支付宝,即时到账交易,高德打车,快车-学校到天河城,46.61,支出,交易成功,0.00,0.00,,已支出
2026051950447551111035,20260519210942651609,2026-05-19 21:09:42,2026-05-19 21:13:35,2026-05-19 21:13:35,手机支付宝,即时到账交易,腾讯视频VIP,会员月卡自动续费,16.26,支出,交易成功,0.00,0.00,,已支出
2026051942005927144972,20260519032122065684,2026-05-19 03:21:22,2026-05-19 03:25:45,2026-05-19 03:25:45,手机支付宝,担保交易,淘宝,机械键盘红轴,253.46,支出,交易成功,0.00,0.00,,已支出
2026051860950623825998,20260518234832184655,2026-05-18 23:48:32,2026-05-18 23:51:22,2026-05-18 23:51:22,手机支付宝,即时到账交易,支付宝公益,月捐-乡村儿童午餐,5.17,支出,交易成功,0.00,0.00,,已支出
2026051801376083967460,20260518200408381054,2026-05-18 20:04:08,2026-05-18 20:06:25,2026-05-18 20:06:25,手机支付宝,担保交易,淘宝,机械键盘红轴,342.50,支出,交易成功,0.00,0.00,,已支出
2026051778015394012069,20260517024700261297,2026-05-17 02:47:00,2026-05-17 02:48:39,2026-05-17 02:48:39,手机支付宝,即时到账交易,沙县小吃,鸡腿饭+炖汤,20.78,支出,交易成功,0.00,0.00,,已支出
2026051568966995950490,20260515193402788354,2026-05-15 19:34:02,2026-05-15 19:37:55,2026-05-15 19:37:55,手机支付宝,担保交易,天猫超市,零食日用品一箱,142.40,支出,交易成功,0.00,0.00,,已支出
2026051462440703945596,20260514052830770549,2026-05-14 05:28:30,2026-05-14 05:31:15,2026-05-14 05:31:15,手机支付宝,即时到账交易,兰州拉面,牛肉拉面加蛋,14.49,支出,交易成功,0.00,0.00,,已支出
2026051443619635348238,20260514005115786558,2026-05-14 00:51:15,2026-05-14 00:54:48,2026-05-14 00:54:48,手机支付宝,即时到账交易,蜜雪冰城,柠檬水+珍珠奶茶,12.80,支出,交易成功,0.00,0.00,,已支出
2026050918991396360175,20260509045108886054,2026-05-09 04:51:08,2026-05-09 04:53:14,2026-05-09 04:53:14,手机支付宝,即时到账交易,理发店,剪发,45.97,支出,交易成功,0.00,0.00,,已支出
2026050351946846974034,20260503165553373498,2026-05-03 16:55:53,2026-05-03 16:56:04,2026-05-03 16:56:04,手机支付宝,即时到账交易,杨国福麻辣烫,麻辣烫自选,33.57,支出,交易成功,0.00,0.00,,已支出
2026050312804036025919,20260503165025962602,2026-05-03 16:50:25,2026-05-03 16:53:06,2026-05-03 16:53:06,手机支付宝,即时到账交易,肯德基KFC,疯狂星期四葡挞,24.38,支出,交易成功,0.00,0.00,,已支出
2026050388018221757300,20260503160659325928,2026-05-03 16:06:59,2026-05-03 16:07:43,2026-05-03 16:07:43,手机支付宝,担保交易,淘宝,机械键盘红轴,336.67,支出,交易成功,0.00,0.00,,已支出
2026050274415290606687,20260502200749824737,2026-05-02 20:07:49,2026-05-02 20:11:09,2026-05-02 20:11:09,手机支付宝,即时到账交易,菜鸟驿站,快递寄件,14.52,支出,交易成功,0.00,0.00,,已支出
